candidate,office,election_year,filing_date,reporting_period,filing_type,stated_total_contributions,stated_total_expenditures,stated_beginning_balance,stated_ending_balance,itemized_contrib_sum,itemized_expend_sum,reconciles_contrib,reconciles_expend,recon_delta_contrib,recon_delta_expend,self_funded_amount,n_contrib_rows,n_expend_rows,source_filing,document_id,extraction_confidence,notes,filing_regime
MICHELE RANDALL,Mayor,2021,2021-08-03,2021 pre-primary (Aug 3),interim,26658.36,11828.77,,14829.59,26658.36,11828.77,True,True,0.00,0.00,0.00,20,20,raw/wb20210803_campaignfinancialreports.pdf,e761035f,medium,,
JIMMIE B. HUGHES,Mayor,2021,2021-08-03,2021 pre-primary (Aug 3),interim,11275.22,10272.32,,1002.90,11275.22,10272.32,True,True,0.00,0.00,3825.22,7,9,raw/wb20210803_campaignfinancialreports.pdf,b67a83ff,medium,,
WOODY WOODBURY,Mayor,2021,2021-08-03,2021 pre-primary (Aug 3),interim,750.00,1322.71,,572.71,750.00,1322.71,True,True,0.00,0.00,0.00,4,9,raw/wb20210803_campaignfinancialreports.pdf,4d786b78,medium,vision-transcribed(claude-sonnet-5),
BRETT TOLLY,Mayor,2021,2021-08-03,2021 pre-primary (Aug 3),interim,849.36,839.82,,9.54,874.36,840.12,False,False,25.00,0.30,874.36,9,6,raw/wb20210803_campaignfinancialreports.pdf,cb0a6cab,low,vision-transcribed(claude-sonnet-5); contrib!=stated; expend!=stated,
M. RICK ERICKSON,Council,2021,2021-08-03,2021 pre-primary (Aug 3),interim,2505.00,1657.54,,847.46,2505.00,1657.54,True,True,0.00,0.00,0.00,18,20,raw/wb20210803_campaignfinancialreports.pdf,5043e322,medium,vision-transcribed(claude-sonnet-5),
RONALD WOODBURY,Council,2021,2021-08-03,2021 pre-primary (Aug 3),interim,3015.05,2764.16,,250.89,3015.05,2764.16,True,True,0.00,0.00,3015.00,13,37,raw/wb20210803_campaignfinancialreports.pdf,7aacdbbf,medium,vision-transcribed(claude-sonnet-5),
KENT L. WINDER,Council,2021,2021-08-03,2021 pre-primary (Aug 3),interim,3700.03,1789.06,,1910.97,3700.03,1789.06,True,True,0.00,0.00,300.00,23,28,raw/wb20210803_campaignfinancialreports.pdf,daa4dfec,medium,vision-transcribed(claude-sonnet-5),
TORI BUSH,Council,2021,2021-08-03,2021 pre-primary (Aug 3),interim,255.00,292.04,,37.04,255.00,292.04,True,True,0.00,0.00,0.00,4,6,raw/wb20210803_campaignfinancialreports.pdf,9fe5a4bd,medium,vision-transcribed(claude-sonnet-5),
KATHERYNE NOVICK,Council,2021,2021-08-03,2021 pre-primary (Aug 3),interim,0.00,0.00,,0.00,0.00,0.00,True,True,0.00,0.00,0.00,0,0,raw/wb20210803_campaignfinancialreports.pdf,8028448f,medium,vision-transcribed(claude-sonnet-5),
GREG ALDRED,Council,2021,2021-08-03,2021 pre-primary (Aug 3),interim,3135.00,3132.22,,2.78,3135.00,3132.22,True,True,0.00,0.00,0.00,6,12,raw/wb20210803_campaignfinancialreports.pdf,8fd8acd5,medium,vision-transcribed(claude-sonnet-5),
