candidate,office,seat,election_year,filing_date,reporting_period,date,vendor_raw,vendor_normalized,purpose,amount,in_kind,is_incremental,source_filing,document_id,line_no,extraction_confidence,extract_method,needs_review,geometry
"Theodore, Dea",County Council,District 6,2024,2024-09-16,votetheodore1@gmail.com,2024-06-27,BH,BH,,500.00,False,True,raw/easyvote/Theodore-Dea__008DF9A2.pdf,008DF9A2-C3AB-4C9E-9C80-BA2BD4D42D14,1,high,easyvote_api/json,0,
"Theodore, Dea",County Council,District 6,2024,2024-09-16,votetheodore1@gmail.com,2024-06-28,Amazon,Amazon,,325.34,False,True,raw/easyvote/Theodore-Dea__008DF9A2.pdf,008DF9A2-C3AB-4C9E-9C80-BA2BD4D42D14,2,high,easyvote_api/json,0,
"Theodore, Dea",County Council,District 6,2024,2024-09-16,votetheodore1@gmail.com,2024-06-29,Winco,Winco,,623.42,False,True,raw/easyvote/Theodore-Dea__008DF9A2.pdf,008DF9A2-C3AB-4C9E-9C80-BA2BD4D42D14,3,high,easyvote_api/json,0,
"Theodore, Dea",County Council,District 6,2024,2024-09-16,votetheodore1@gmail.com,2024-07-04,Harmons,Harmons,,7.71,False,True,raw/easyvote/Theodore-Dea__008DF9A2.pdf,008DF9A2-C3AB-4C9E-9C80-BA2BD4D42D14,4,high,easyvote_api/json,0,
"Theodore, Dea",County Council,District 6,2024,2024-09-16,votetheodore1@gmail.com,2024-07-05,Maceys,Maceys,,38.46,False,True,raw/easyvote/Theodore-Dea__008DF9A2.pdf,008DF9A2-C3AB-4C9E-9C80-BA2BD4D42D14,5,high,easyvote_api/json,0,
"Theodore, Dea",County Council,District 6,2024,2024-09-16,votetheodore1@gmail.com,2024-07-05,Maceys,Maceys,,42.21,False,True,raw/easyvote/Theodore-Dea__008DF9A2.pdf,008DF9A2-C3AB-4C9E-9C80-BA2BD4D42D14,6,high,easyvote_api/json,0,
"Theodore, Dea",County Council,District 6,2024,2024-09-16,votetheodore1@gmail.com,2024-07-05,Jimmy Johns,Jimmy Johns,,223.40,False,True,raw/easyvote/Theodore-Dea__008DF9A2.pdf,008DF9A2-C3AB-4C9E-9C80-BA2BD4D42D14,7,high,easyvote_api/json,0,
"Theodore, Dea",County Council,District 6,2024,2024-09-16,votetheodore1@gmail.com,2024-07-18,Vistaprint,Vistaprint,,261.11,False,True,raw/easyvote/Theodore-Dea__008DF9A2.pdf,008DF9A2-C3AB-4C9E-9C80-BA2BD4D42D14,8,high,easyvote_api/json,0,
"Theodore, Dea",County Council,District 6,2024,2024-09-16,votetheodore1@gmail.com,2024-07-19,Smiths,Smiths,,123.11,False,True,raw/easyvote/Theodore-Dea__008DF9A2.pdf,008DF9A2-C3AB-4C9E-9C80-BA2BD4D42D14,9,high,easyvote_api/json,0,
"Theodore, Dea",County Council,District 6,2024,2024-09-16,votetheodore1@gmail.com,2024-07-24,Winco,Winco,,88.24,False,True,raw/easyvote/Theodore-Dea__008DF9A2.pdf,008DF9A2-C3AB-4C9E-9C80-BA2BD4D42D14,10,high,easyvote_api/json,0,
"Theodore, Dea",County Council,District 6,2024,2024-09-16,votetheodore1@gmail.com,2024-08-05,Dana Goff,Dana Goff,,22.00,False,True,raw/easyvote/Theodore-Dea__008DF9A2.pdf,008DF9A2-C3AB-4C9E-9C80-BA2BD4D42D14,11,high,easyvote_api/json,0,
"Theodore, Dea",County Council,District 6,2024,2024-09-16,votetheodore1@gmail.com,2024-08-05,Dana Goff,Dana Goff,,250.00,False,True,raw/easyvote/Theodore-Dea__008DF9A2.pdf,008DF9A2-C3AB-4C9E-9C80-BA2BD4D42D14,12,high,easyvote_api/json,0,
"Theodore, Dea",County Council,District 6,2024,2024-09-16,votetheodore1@gmail.com,2024-08-06,Vistaprint,Vistaprint,,887.00,False,True,raw/easyvote/Theodore-Dea__008DF9A2.pdf,008DF9A2-C3AB-4C9E-9C80-BA2BD4D42D14,13,high,easyvote_api/json,0,
"Theodore, Dea",County Council,District 6,2024,2024-09-16,votetheodore1@gmail.com,2024-08-08,Amazon,Amazon,,82.00,False,True,raw/easyvote/Theodore-Dea__008DF9A2.pdf,008DF9A2-C3AB-4C9E-9C80-BA2BD4D42D14,14,high,easyvote_api/json,0,
