dataset,record_key,title,date,local_path,source_url,source_host,retrieved_date,verified_date,extraction_method,processing_ref
meeting_minutes,2020-02-18_city-council,Riverton City Council Meeting,2020-02-18,meeting_minutes/minutes/2020/2020-02-17/2020-02-18_city-council.md,https://www.utah.gov/pmn/files/586401.pdf,www.utah.gov,,,text,meeting_minutes/CLAUDE.md §pipeline
meeting_minutes,2020-03-03_city-council,Riverton City Council Meeting,2020-03-03,meeting_minutes/minutes/2020/2020-03-02/2020-03-03_city-council.md,https://www.utah.gov/pmn/files/586405.pdf,www.utah.gov,,,text,meeting_minutes/CLAUDE.md §pipeline
meeting_minutes,2020-03-17_city-council,Riverton City Council Meeting,2020-03-17,meeting_minutes/minutes/2020/2020-03-16/2020-03-17_city-council.md,https://www.utah.gov/pmn/files/590475.pdf,www.utah.gov,,,text,meeting_minutes/CLAUDE.md §pipeline
meeting_minutes,2020-04-07_city-council,Riverton City Council Meeting,2020-04-07,meeting_minutes/minutes/2020/2020-04-06/2020-04-07_city-council.md,https://www.utah.gov/pmn/files/595357.pdf,www.utah.gov,,,text,meeting_minutes/CLAUDE.md §pipeline
meeting_minutes,2020-04-21_city-council,Riverton City Council Meeting,2020-04-21,meeting_minutes/minutes/2020/2020-04-20/2020-04-21_city-council.md,https://www.utah.gov/pmn/files/598079.pdf,www.utah.gov,,,text,meeting_minutes/CLAUDE.md §pipeline
meeting_minutes,2020-05-05_city-council,Riverton City Council Meeting,2020-05-05,meeting_minutes/minutes/2020/2020-05-04/2020-05-05_city-council.md,https://www.utah.gov/pmn/files/602535.pdf,www.utah.gov,,,text,meeting_minutes/CLAUDE.md §pipeline
meeting_minutes,2020-05-19_city-council,Riverton City Council Meeting,2020-05-19,meeting_minutes/minutes/2020/2020-05-18/2020-05-19_city-council.md,https://www.utah.gov/pmn/files/606595.pdf,www.utah.gov,,,text,meeting_minutes/CLAUDE.md §pipeline
meeting_minutes,2020-06-02_city-council,Riverton City Council Meeting,2020-06-02,meeting_minutes/minutes/2020/2020-06-01/2020-06-02_city-council.md,https://www.utah.gov/pmn/files/611601.pdf,www.utah.gov,,,text,meeting_minutes/CLAUDE.md §pipeline
meeting_minutes,2020-06-16_city-council,Riverton City Council Meeting,2020-06-16,meeting_minutes/minutes/2020/2020-06-15/2020-06-16_city-council.md,https://www.utah.gov/pmn/files/622549.pdf,www.utah.gov,,,text,meeting_minutes/CLAUDE.md §pipeline
meeting_minutes,2020-06-29_city-council,Riverton City Council Meeting,2020-06-29,meeting_minutes/minutes/2020/2020-06-29/2020-06-29_city-council.md,https://www.utah.gov/pmn/files/622551.pdf,www.utah.gov,,,text,meeting_minutes/CLAUDE.md §pipeline
meeting_minutes,2020-07-21_city-council,Riverton City Council Meeting,2020-07-21,meeting_minutes/minutes/2020/2020-07-20/2020-07-21_city-council.md,https://www.utah.gov/pmn/files/630901.pdf,www.utah.gov,,,text,meeting_minutes/CLAUDE.md §pipeline
meeting_minutes,2020-08-18_city-council,Riverton City Council Meeting,2020-08-18,meeting_minutes/minutes/2020/2020-08-17/2020-08-18_city-council.md,https://www.utah.gov/pmn/files/634929.pdf,www.utah.gov,,,text,meeting_minutes/CLAUDE.md §pipeline
meeting_minutes,2020-09-01_city-council,Riverton City Council Meeting,2020-09-01,meeting_minutes/minutes/2020/2020-08-31/2020-09-01_city-council.md,https://www.utah.gov/pmn/files/652327.pdf,www.utah.gov,,,text,meeting_minutes/CLAUDE.md §pipeline
meeting_minutes,2020-09-15_city-council,Riverton City Council Meeting,2020-09-15,meeting_minutes/minutes/2020/2020-09-14/2020-09-15_city-council.md,https://www.utah.gov/pmn/files/652325.pdf,www.utah.gov,,,text,meeting_minutes/CLAUDE.md §pipeline
meeting_minutes,2020-10-06_city-council,Riverton City Council Meeting,2020-10-06,meeting_minutes/minutes/2020/2020-10-05/2020-10-06_city-council.md,https://www.utah.gov/pmn/files/649683.pdf,www.utah.gov,,,text,meeting_minutes/CLAUDE.md §pipeline
meeting_minutes,2020-10-16_city-council,Riverton City Council Meeting,2020-10-16,meeting_minutes/minutes/2020/2020-10-12/2020-10-16_city-council.md,https://www.utah.gov/pmn/files/659909.pdf,www.utah.gov,,,text,meeting_minutes/CLAUDE.md §pipeline
meeting_minutes,2020-11-17_city-council,Riverton City Council Meeting,2020-11-17,meeting_minutes/minutes/2020/2020-11-16/2020-11-17_city-council.md,https://www.utah.gov/pmn/files/668797.pdf,www.utah.gov,,,text,meeting_minutes/CLAUDE.md §pipeline
meeting_minutes,2020-12-01_city-council,Riverton City Council Meeting,2020-12-01,meeting_minutes/minutes/2020/2020-11-30/2020-12-01_city-council.md,https://www.utah.gov/pmn/files/668799.pdf,www.utah.gov,,,text,meeting_minutes/CLAUDE.md §pipeline
meeting_minutes,2020-12-15_city-council,Riverton City Council Meeting,2020-12-15,meeting_minutes/minutes/2020/2020-12-14/2020-12-15_city-council.md,https://www.utah.gov/pmn/files/677569.pdf,www.utah.gov,,,text,meeting_minutes/CLAUDE.md §pipeline
meeting_minutes,2021-01-05_city-council,Riverton City Council Meeting,2021-01-05,meeting_minutes/minutes/2021/2021-01-04/2021-01-05_city-council.md,https://www.utah.gov/pmn/files/677575.pdf,www.utah.gov,,,text,meeting_minutes/CLAUDE.md §pipeline
meeting_minutes,2021-01-19_city-council,Riverton City Council Meeting,2021-01-19,meeting_minutes/minutes/2021/2021-01-18/2021-01-19_city-council.md,https://www.utah.gov/pmn/files/682571.pdf,www.utah.gov,,,text,meeting_minutes/CLAUDE.md §pipeline
meeting_minutes,2021-02-02_city-council,Riverton City Council Meeting,2021-02-02,meeting_minutes/minutes/2021/2021-02-01/2021-02-02_city-council.md,https://www.utah.gov/pmn/files/692249.pdf,www.utah.gov,,,text,meeting_minutes/CLAUDE.md §pipeline
meeting_minutes,2021-02-16_city-council,Riverton City Council Meeting,2021-02-16,meeting_minutes/minutes/2021/2021-02-15/2021-02-16_city-council.md,https://www.utah.gov/pmn/files/692685.pdf,www.utah.gov,,,text,meeting_minutes/CLAUDE.md §pipeline
meeting_minutes,2021-03-02_city-council,Riverton City Council Meeting,2021-03-02,meeting_minutes/minutes/2021/2021-03-01/2021-03-02_city-council.md,https://www.utah.gov/pmn/files/698123.pdf,www.utah.gov,,,text,meeting_minutes/CLAUDE.md §pipeline
meeting_minutes,2021-03-16_city-council,Riverton City Council Meeting,2021-03-16,meeting_minutes/minutes/2021/2021-03-15/2021-03-16_city-council.md,https://www.utah.gov/pmn/files/704775.pdf,www.utah.gov,,,text,meeting_minutes/CLAUDE.md §pipeline
meeting_minutes,2021-04-06_city-council,Riverton City Council Meeting,2021-04-06,meeting_minutes/minutes/2021/2021-04-05/2021-04-06_city-council.md,https://www.utah.gov/pmn/files/709903.pdf,www.utah.gov,,,text,meeting_minutes/CLAUDE.md §pipeline
meeting_minutes,2021-04-20_city-council,Riverton City Council Meeting,2021-04-20,meeting_minutes/minutes/2021/2021-04-19/2021-04-20_city-council.md,https://www.utah.gov/pmn/files/720405.pdf,www.utah.gov,,,text,meeting_minutes/CLAUDE.md §pipeline
meeting_minutes,2021-05-04_city-council,Riverton City Council Meeting,2021-05-04,meeting_minutes/minutes/2021/2021-05-03/2021-05-04_city-council.md,https://www.utah.gov/pmn/files/720407.pdf,www.utah.gov,,,text,meeting_minutes/CLAUDE.md §pipeline
meeting_minutes,2021-05-18_city-council,Riverton City Council Meeting,2021-05-18,meeting_minutes/minutes/2021/2021-05-17/2021-05-18_city-council.md,https://www.utah.gov/pmn/files/725525.pdf,www.utah.gov,,,text,meeting_minutes/CLAUDE.md §pipeline
meeting_minutes,2021-06-01_city-council,Riverton City Council Meeting,2021-06-01,meeting_minutes/minutes/2021/2021-05-31/2021-06-01_city-council.md,https://www.utah.gov/pmn/files/730699.pdf,www.utah.gov,,,text,meeting_minutes/CLAUDE.md §pipeline
meeting_minutes,2021-06-15_city-council,Riverton City Council Meeting,2021-06-15,meeting_minutes/minutes/2021/2021-06-14/2021-06-15_city-council.md,https://www.utah.gov/pmn/files/741889.pdf,www.utah.gov,,,text,meeting_minutes/CLAUDE.md §pipeline
meeting_minutes,2021-07-20_city-council,Riverton City Council Meeting,2021-07-20,meeting_minutes/minutes/2021/2021-07-19/2021-07-20_city-council.md,https://www.utah.gov/pmn/files/745719.pdf,www.utah.gov,,,text,meeting_minutes/CLAUDE.md §pipeline
meeting_minutes,2021-08-03_city-council,Riverton City Council Meeting,2021-08-03,meeting_minutes/minutes/2021/2021-08-02/2021-08-03_city-council.md,https://www.utah.gov/pmn/files/750517.pdf,www.utah.gov,,,text,meeting_minutes/CLAUDE.md §pipeline
meeting_minutes,2021-08-17_city-council,Riverton City Council Meeting,2021-08-17,meeting_minutes/minutes/2021/2021-08-16/2021-08-17_city-council.md,https://www.utah.gov/pmn/files/762490.pdf,www.utah.gov,,,text,meeting_minutes/CLAUDE.md §pipeline
meeting_minutes,2021-09-07_city-council,Riverton City Council Meeting,2021-09-07,meeting_minutes/minutes/2021/2021-09-06/2021-09-07_city-council.md,https://www.utah.gov/pmn/files/762494.pdf,www.utah.gov,,,text,meeting_minutes/CLAUDE.md §pipeline
meeting_minutes,2021-09-21_city-council,Riverton City Council Meeting,2021-09-21,meeting_minutes/minutes/2021/2021-09-20/2021-09-21_city-council.md,https://www.utah.gov/pmn/files/784171.pdf,www.utah.gov,,,text,meeting_minutes/CLAUDE.md §pipeline
meeting_minutes,2021-10-05_city-council,Riverton City Council Meeting,2021-10-05,meeting_minutes/minutes/2021/2021-10-04/2021-10-05_city-council.md,https://www.utah.gov/pmn/files/784215.pdf,www.utah.gov,,,text,meeting_minutes/CLAUDE.md §pipeline
meeting_minutes,2021-11-16_city-council,Riverton City Council Meeting,2021-11-16,meeting_minutes/minutes/2021/2021-11-15/2021-11-16_city-council.md,https://www.utah.gov/pmn/files/794249.pdf,www.utah.gov,,,text,meeting_minutes/CLAUDE.md §pipeline
meeting_minutes,2021-12-14_city-council,Riverton City Council Meeting,2021-12-14,meeting_minutes/minutes/2021/2021-12-13/2021-12-14_city-council.md,https://www.utah.gov/pmn/files/797577.pdf,www.utah.gov,,,text,meeting_minutes/CLAUDE.md §pipeline
