candidate,office,seat,election_year,filing_date,reporting_period,date,vendor_raw,vendor_normalized,purpose,amount,in_kind,is_incremental,source_filing,document_id,line_no,extraction_confidence,extract_method,needs_review
Dee Jones,Mayor,,2021,2021-08-03,,2021-07-15,Cache Valley Media,Cache Valley Media,,3088.00,False,True,raw/2021/20210803_Dee_Jones_-_2021August3.pdf,64093127,v1,medium,utah_standard_form/vision,0
Dee Jones,Mayor,,2021,2021-08-03,,2021-07-09,Square Inc,Square Inc,,2411.00,False,True,raw/2021/20210803_Dee_Jones_-_2021August3.pdf,64093127,v2,medium,utah_standard_form/vision,0
Holly H Daines,Mayor,,2021,2021-08-03,,,Wordpress Domain,Wordpress Domain,,18.00,False,True,raw/2021/20210803_Holly_H_Daines_-_2021August3.pdf,9919cb72,v1,medium,utah_standard_form/vision,0
Holly H Daines,Mayor,,2021,2021-08-03,,,Wordpress website,Wordpress website,,51.48,False,True,raw/2021/20210803_Holly_H_Daines_-_2021August3.pdf,9919cb72,v2,medium,utah_standard_form/vision,0
Holly H Daines,Mayor,,2021,2021-08-03,,2021-05-04,Google Domains,Google Domains,,12.00,False,True,raw/2021/20210803_Holly_H_Daines_-_2021August3.pdf,9919cb72,v3,medium,utah_standard_form/vision,0
Holly H Daines,Mayor,,2021,2021-08-03,,2021-05-04,Google Domains,Google Domains,,12.00,False,True,raw/2021/20210803_Holly_H_Daines_-_2021August3.pdf,9919cb72,v4,medium,utah_standard_form/vision,0
Holly H Daines,Mayor,,2021,2021-08-03,,2021-05-04,Weebly Site Plan,Weebly Site Plan,,77.04,False,True,raw/2021/20210803_Holly_H_Daines_-_2021August3.pdf,9919cb72,v5,medium,utah_standard_form/vision,0
Holly H Daines,Mayor,,2021,2021-08-03,,2021-06-24,Square One Printing,Square One Printing,,310.84,False,True,raw/2021/20210803_Holly_H_Daines_-_2021August3.pdf,9919cb72,v6,medium,utah_standard_form/vision,0
Holly H Daines,Mayor,,2021,2021-08-03,,2021-06-24,Square One Printing,Square One Printing,,1095.56,False,True,raw/2021/20210803_Holly_H_Daines_-_2021August3.pdf,9919cb72,v7,medium,utah_standard_form/vision,0
Holly H Daines,Mayor,,2021,2021-08-03,,2021-07-06,Google Domains,Google Domains,,12.83,False,True,raw/2021/20210803_Holly_H_Daines_-_2021August3.pdf,9919cb72,v8,medium,utah_standard_form/vision,0
Holly H Daines,Mayor,,2021,2021-08-03,,2021-07-06,Amazon (yard signs),Amazon (yard signs),,57.67,False,True,raw/2021/20210803_Holly_H_Daines_-_2021August3.pdf,9919cb72,v9,medium,utah_standard_form/vision,0
Holly H Daines,Mayor,,2021,2021-08-03,,2021-07-26,Cache Valley Media Group,Cache Valley Media Group,,990.00,False,True,raw/2021/20210803_Holly_H_Daines_-_2021August3.pdf,9919cb72,v10,medium,utah_standard_form/vision,0
Holly H Daines,Mayor,,2021,2021-08-03,,2021-07-26,"Amy Jensen, photographer","Amy Jensen, photographer",,20.00,False,True,raw/2021/20210803_Holly_H_Daines_-_2021August3.pdf,9919cb72,v11,medium,utah_standard_form/vision,0
Holly H Daines,Mayor,,2021,2021-08-03,,2021-07-28,Herald Journal,Herald Journal,,550.00,False,True,raw/2021/20210803_Holly_H_Daines_-_2021August3.pdf,9919cb72,v12,medium,utah_standard_form/vision,0
Holly H Daines,Mayor,,2021,2021-08-03,,2021-06-07,Google Domains,Google Domains,,12.83,False,True,raw/2021/20210803_Holly_H_Daines_-_2021August3.pdf,9919cb72,v13,medium,utah_standard_form/vision,0
Amy Z. Anderson,Council,,2021,2021-10-26,,2021-08-31,Nationbuilder website,Nationbuilder website,,170.13,False,True,raw/2021/20211026_Amy_Z._Anderson_-_2021October26.pdf,197a45a4,v1,medium,utah_standard_form/vision,0
Amy Z. Anderson,Council,,2021,2021-10-26,,2021-09-13,Square One Printing,Square One Printing,,53.28,False,True,raw/2021/20211026_Amy_Z._Anderson_-_2021October26.pdf,197a45a4,v2,medium,utah_standard_form/vision,0
Amy Z. Anderson,Council,,2021,2021-10-26,,2021-09-22,Deseret News Publishing/Hometown,Deseret News Publishing/Hometown,,175.00,False,True,raw/2021/20211026_Amy_Z._Anderson_-_2021October26.pdf,197a45a4,v3,medium,utah_standard_form/vision,0
Amy Z. Anderson,Council,,2021,2021-10-26,,2021-09-30,Nationbuilder,Nationbuilder,,37.46,False,True,raw/2021/20211026_Amy_Z._Anderson_-_2021October26.pdf,197a45a4,v4,medium,utah_standard_form/vision,0
Amy Z. Anderson,Council,,2021,2021-10-26,,2021-10-01,Square One Printing,Square One Printing,,267.50,False,True,raw/2021/20211026_Amy_Z._Anderson_-_2021October26.pdf,197a45a4,v5,medium,utah_standard_form/vision,0
Amy Z. Anderson,Council,,2021,2021-10-26,,2021-10-03,Staples,Staples,,181.89,False,True,raw/2021/20211026_Amy_Z._Anderson_-_2021October26.pdf,197a45a4,v6,medium,utah_standard_form/vision,0
Amy Z. Anderson,Council,,2021,2021-10-26,,2021-10-03,Venmo,Venmo,,19.81,False,True,raw/2021/20211026_Amy_Z._Anderson_-_2021October26.pdf,197a45a4,v7,medium,utah_standard_form/vision,0
Amy Z. Anderson,Council,,2021,2021-10-26,,2021-10-06,Square One,Square One,,522.16,False,True,raw/2021/20211026_Amy_Z._Anderson_-_2021October26.pdf,197a45a4,v8,medium,utah_standard_form/vision,0
Amy Z. Anderson,Council,,2021,2021-10-26,,2021-10-11,Cache Valley Media Group,Cache Valley Media Group,,500.00,False,True,raw/2021/20211026_Amy_Z._Anderson_-_2021October26.pdf,197a45a4,v9,medium,utah_standard_form/vision,0
Amy Z. Anderson,Council,,2021,2021-10-26,,2021-10-20,Cache Valley Media Group,Cache Valley Media Group,,350.00,False,True,raw/2021/20211026_Amy_Z._Anderson_-_2021October26.pdf,197a45a4,v10,medium,utah_standard_form/vision,0
Dee Jones,Mayor,,2021,2021-10-26,,2021-07-30,Rocket Box Web Design,Rocket Box Web Design,,2500.00,False,True,raw/2021/20211026_Dee_Jones_-2021October26.pdf,4f26d009,v1,medium,utah_standard_form/vision,0
Dee Jones,Mayor,,2021,2021-10-26,,2021-10-21,Cache Valley Media Group,Cache Valley Media Group,,3080.00,False,True,raw/2021/20211026_Dee_Jones_-2021October26.pdf,4f26d009,v2,medium,utah_standard_form/vision,0
Dee Jones,Mayor,,2021,2021-10-26,,2021-10-25,The Herald Journal,The Herald Journal,,2630.00,False,True,raw/2021/20211026_Dee_Jones_-2021October26.pdf,4f26d009,v3,medium,utah_standard_form/vision,0
Dee Jones,Mayor,,2021,2021-10-26,,2021-10-22,Spare One,Spare One,,535.00,False,True,raw/2021/20211026_Dee_Jones_-2021October26.pdf,4f26d009,v4,medium,utah_standard_form/vision,0
Holly H. Daines,Mayor,,2021,2021-10-26,,2021-09-17,Square One Printing,Square One Printing,printing + postage for city-wide mailer,5066.56,False,True,raw/2021/20211026_Holly_H._Daines_-2021October26.pdf,7b9920a1,v1,medium,utah_standard_form/vision,0
Holly H. Daines,Mayor,,2021,2021-10-26,,2021-09-30,Cache Valley Media Group,Cache Valley Media Group,,960.00,False,True,raw/2021/20211026_Holly_H._Daines_-2021October26.pdf,7b9920a1,v2,medium,utah_standard_form/vision,0
Holly H. Daines,Mayor,,2021,2021-10-26,,2021-10-04,Herald Journal,Herald Journal,,600.00,False,True,raw/2021/20211026_Holly_H._Daines_-2021October26.pdf,7b9920a1,v3,medium,utah_standard_form/vision,0
Holly H. Daines,Mayor,,2021,2021-10-26,,2021-10-04,Google Domains,Google Domains,,12.00,False,True,raw/2021/20211026_Holly_H._Daines_-2021October26.pdf,7b9920a1,v4,medium,utah_standard_form/vision,0
Holly H. Daines,Mayor,,2021,2021-10-26,,2021-10-18,IC Group,IC Group,,186.73,False,True,raw/2021/20211026_Holly_H._Daines_-2021October26.pdf,7b9920a1,v5,medium,utah_standard_form/vision,0
Alanna Nafziger,Mayor,,2025,2025-08-05,,2025-06-21,Square One Printing,Square One Printing,Business cards,37.45,False,True,raw/2025/20250805_Alanna_Nafziger_August_5__2025.pdf,cbc9e4fc,v1,medium,utah_standard_form/vision,0
Alanna Nafziger,Mayor,,2025,2025-08-05,,2025-07-04,Square One Printing,Square One Printing,Lawn signs,1712.00,False,True,raw/2025/20250805_Alanna_Nafziger_August_5__2025.pdf,cbc9e4fc,v2,medium,utah_standard_form/vision,0
Alanna Nafziger,Mayor,,2025,2025-08-05,,2025-07-09,Sticker Mule,Sticker Mule,Buttons,42.92,False,True,raw/2025/20250805_Alanna_Nafziger_August_5__2025.pdf,cbc9e4fc,v3,medium,utah_standard_form/vision,0
Alanna Nafziger,Mayor,,2025,2025-08-05,,2025-07-13,Utah State Democratic Committee,Utah State Democratic Committee,Voterfile access,619.70,False,True,raw/2025/20250805_Alanna_Nafziger_August_5__2025.pdf,cbc9e4fc,v4,medium,utah_standard_form/vision,0
Alanna Nafziger,Mayor,,2025,2025-08-05,,2025-07-17,Ghost.org,Ghost.org,Website,31.00,False,True,raw/2025/20250805_Alanna_Nafziger_August_5__2025.pdf,cbc9e4fc,v5,medium,utah_standard_form/vision,0
Alanna Nafziger,Mayor,,2025,2025-08-05,,2025-07-18,Gandi.net,Gandi.net,Domain purchase,11.31,False,True,raw/2025/20250805_Alanna_Nafziger_August_5__2025.pdf,cbc9e4fc,v6,medium,utah_standard_form/vision,0
Alanna Nafziger,Mayor,,2025,2025-08-05,,2025-07-23,Sams Club,Sams Club,Pioneer Day Parade supplies,148.07,False,True,raw/2025/20250805_Alanna_Nafziger_August_5__2025.pdf,cbc9e4fc,v7,medium,utah_standard_form/vision,0
Alanna Nafziger,Mayor,,2025,2025-08-05,,2025-07-23,Smiths,Smiths,Pioneer Day Parade supplies,12.09,False,True,raw/2025/20250805_Alanna_Nafziger_August_5__2025.pdf,cbc9e4fc,v8,medium,utah_standard_form/vision,0
Alanna Nafziger,Mayor,,2025,2025-08-05,,2025-07-24,Zurchers,Zurchers,Pioneer Day Parade supplies,64.10,False,True,raw/2025/20250805_Alanna_Nafziger_August_5__2025.pdf,cbc9e4fc,v9,medium,utah_standard_form/vision,0
Alanna Nafziger,Mayor,,2025,2025-08-05,,2025-07-28,Blueprint Public Affaris,Blueprint Public Affaris,Consultant,1838.42,False,True,raw/2025/20250805_Alanna_Nafziger_August_5__2025.pdf,cbc9e4fc,v10,medium,utah_standard_form/vision,0
Alanna Nafziger,Mayor,,2025,2025-08-05,,2025-07-29,Square One Printing,Square One Printing,Business cards,212.40,False,True,raw/2025/20250805_Alanna_Nafziger_August_5__2025.pdf,cbc9e4fc,v11,medium,utah_standard_form/vision,0
Brian Seamons,Council,,2025,2025-08-05,,2025-07-28,SPRINT IMAGE,Sprint Image,ADVERTISING,11210.81,False,True,raw/2025/20250805_Brian_Seamons_August_5__2025.pdf,0263593b,v1,medium,utah_standard_form/vision,0
Katie Lee-Koven,Council,,2025,2025-08-05,,2025-07-07,Paypal-Vistaprint,Paypal-Vistaprint,web domain renewal,38.63,False,False,raw/2025/20250805_Katie_Lee_Koven_August_5__2025.pdf,d2e2d513,v1,medium,utah_standard_form/vision,0
Katie Lee-Koven,Council,,2025,2025-08-05,,2025-07-21,Vistaprint,Vistaprint,door hangers,387.33,False,False,raw/2025/20250805_Katie_Lee_Koven_August_5__2025.pdf,d2e2d513,v2,medium,utah_standard_form/vision,0
