role_id,person_id,body_id,first_seen,last_seen,n_votes
1,1,3,2020-04-22,2026-06-24,339
2,3,3,2020-05-13,2023-11-08,107
3,5,1,2024-01-02,2026-06-16,321
4,5,2,2024-05-07,2024-05-07,2
5,5,4,2024-02-20,2026-06-02,27
6,6,3,2026-03-11,2026-06-24,6
7,7,1,2020-01-07,2026-06-16,765
8,7,2,2024-05-07,2024-05-07,2
9,7,4,2020-01-21,2026-06-02,49
10,8,3,2020-04-22,2022-01-26,158
11,12,1,2025-01-07,2026-06-16,201
12,12,4,2025-03-18,2026-06-02,10
13,13,1,2020-01-07,2024-12-10,558
14,13,2,2024-05-07,2024-05-07,2
15,13,4,2020-01-21,2024-11-12,39
16,14,3,2024-06-12,2026-06-24,47
17,15,3,2020-05-13,2026-06-10,267
18,18,3,2022-08-10,2022-09-28,13
19,19,1,2020-01-07,2026-06-16,767
20,19,2,2024-05-07,2024-05-07,2
21,19,4,2020-01-21,2026-06-02,49
22,21,3,2022-04-27,2026-01-14,66
23,22,3,2022-02-09,2026-06-24,209
24,24,1,2020-01-07,2026-06-16,767
25,24,2,2024-05-07,2024-05-07,2
26,24,4,2020-01-21,2026-06-02,49
27,26,1,2020-01-07,2023-12-06,447
28,26,4,2020-01-21,2023-12-06,22
29,27,1,2020-05-05,2020-05-05,1
30,28,3,2020-05-13,2022-01-26,49
31,30,3,2020-04-22,2026-05-13,294
32,32,3,2020-04-22,2026-06-24,173
