### SHEET: Sheet1  (199x8)
All Expeditures for			Nathan Gregg Caplin			ATTORNEY	Washington County
Date Received		42009				Date Due	42009
Recipient			Date	Amount	In Kind	Description	
Washington County Clerk			41718	575		Filing Fee	
Zazzle.com			41722	47.94		Business Cards	
NCCS			41722	120		400 US Constitutions	
Washington County Republican			41724	100		convention  table	
Party							
Staples			41725	213.96		Banners, signs, stickers, t-shirts	
Steam Roller Copies			41726	62.98		Business cards and signs	
Steam Roller Copies			41726	121.13		Business cards, etc.	
Costco			41727	53		Campaign event	
Dickies BBQ			41729	24.61		Campaign event	
Wagon Wheel			41730	50.53		Campaign event	
Dairy Queen			41731	31.58		Campaign event	
Steamroller Copies			41733	80		Marketing	
NCCS			41738	180		Marketing	
Jeremy Roberts			41740	32		Merketing	
Amazon			41750	34.09		Office Supplies	
Randy Minson			41752	1782.28		Signage	
Randy Minson			41752	150		Signage	
Godaddy			41752	17.16		Marketing	
St George Parks Dept			41753	50		Campaign	
Zazzle.com			41753	9.95		Marketing	
Home Depot			41753	3.7		Campaign	
National Center for			41755	1550		Marketing Materials	
Constitutional Studies							
The UPS Store			41757	318.21		Campaign Supplies	
Amazon			41758	36.9		Office Supplies	
Washington County			41758	349.76		Campaign Data	
Jimmy Johns			41758	55		Marketing	
FaceBook			41760	1.58		Marketing	
Staples			41761	159.31		Marketing Materials	
St George City			41762	50		Meet and Greet	
ULINE			41765	105		Marketing Materials	
Teria Photography			41765	50		Photos	
Rachel Ramsey dba Headpin			41767	3059.88		Marketing	
FaceBook			41767	27.21		Marketing	
Pioneer Shopper			41768	609		Marketing	
Manufacturing Co			41768	800		Marketing Materials	
Denny's			41769	25.07		Marketing	
Costco			41771	50		Meet and Greet Supplies	
FaceBook			41771	50.18		Marketing	
Political Insight Consulting			41775	3090		Campaign Advice	
Manufacturing Co			41775	123.43		Marketing Materials	
UPS Store			41776	5.9		Copies	
Logo Lipbalm			41778	645		Marketing Materials	
KDXU			41779	5822		Advertising	
Washington County			41782	13		Campaign Expense	
Pro Mailing			41782	3942.31		Mailing	
Carl Downing			41783	250		Signage	
Rachel Ramsey bda Headpin			41785	3272.75		Marketing	
Sr. Sampler			41786	700		Advertising	
Speak by Design			41787	2611.91		Signage	
Reed Braithwaite			41787	760		Marketing	
Fractured Prune			41788	15.54		Marketing	
Reed Braithwaite			41788	750		Marketing	
Sr. Sampler			41789	910		Advertising	
Jacob Tidwell			41790	155		Signage	
Star Design			41794	290.7		Signage	
Dickeys			41796	24.13		Worker's Food	
FaceBook			41791	108.24		Marketing	
Canyon Media Group			41792	750		Advertising	
Jeremy Roberts			41792	255		Mailing	
Pro Mailing			41798	1330.29		Mailing	
Speak by Design			41794	1341.9		Signage	
KZNU			41794	750		Advertising	
Star Design			41794	513.27		Signage	
Jeremy Roberts			41794	207		Marketing	
St George Chambers of			06/05/201	15		Marketing	
Commerce							
Independent			41795	435		Advertising	
Voter Optics			41795	1067.5		Campaign Info	
Wendy's			41795	38.06		Worker's Food	
Scholzen			41795	717.19		Signage Supplies	
Pro Mailing			41796	2570.4		Mailing	
St George News			41796	1750		Advertising	
Auto Parts			41796	5.3		Signage Supplies	
Kalyn Snow			41796	100		Meet and Greet Supplies	
Star Sign			41799	100.94		Signage	
Arla Sanders			41800	21.57		Meet and Greet Supplies	
Ben Perkins			41800	864.5		Signage	
Zach Pickering			41800	732		Signage	
Pro Mailing			41801	512.65		Mailing	
Rachel Ramsey dba Headpin			41802	2947.25		Marketing	
Pro Mailing			41802	606.45		Mailing	
Canyon Media Group			41802	960		Advertising	
Jarin Nelson			41802	200		Signage	
Waffle Bliss			41804	200		Meet and Greet Supplies	
FaceBook			41804	6.99		Marketing	
Gannett			41805	1195.48		Advertising	
FaceBook			41806	6.99		Marketing	
Star Design			41807	248.63		Signage	
Redd Braithwaite			41807	760		Marketing	
Canyon Media			41808	366		Radio	
Facebook			41811	6.99		Advertising	
Pro Mailing Systems			41813	2724.98		Mailers/Print	
Canyon Media			41813	874		Radio	
Cherry Creek Radio/KDXU			41814	352		Radio	
The Spectrum/Gannett News			41817	3486.6		Ads	
Headpin			41817	412.5		Emails, web change	
Southwest Meida Advertising			41831	708		Radio	
Speakbydesign			41831	3519.72		Robo calls	
Facebook			41829	248.28		Advertise	
### SHEET: Sheet2  (0x0)
### SHEET: Sheet3  (0x0)
