### SHEET: Sheet1  (93x8)
All Expeditures for			Brock Belnap		ATTORNEY		Washington County
Date Received		41806				Date Due	41807
Recipient			Date	Amount	In Kind	Description	
Washington County Clerk			41718	575		Filing Fee	
Constant Contact			41723	50		Email Marketing	
Oh My Heck Marketing			41726	559.6		Campaign Art Design &	
						Supplies	
Oh My Heck Marketing			41726	322.94		Campaign Art Design &	
						Supplies	
Oh My Heck Marketing			41731	267.22		Campaign Art Design &	
						Supplies	
Washington County Republican			41731	100		Convention table space fee	
Party							
Home Depot			41731	67.66		Electioneering Supplies	
Hurst Ace Hardware			41732	9.02		Electioneering Supplies	
Oh My Heck Marketing			41739	107.84		Poster Board & Ad Graphics	
Oh My Heck Marketing			41739	278.45		Convention Mailers	
GoDaddy			41742	13.17		Website	
Harland Clarke Checks			41745	29.95		Campaign Checks	
Dave Becker			41750	200		Campaign Photography	
Partyland			41756	59.46		Parade Supplies	
Oh My Heck Marketing			41757	2153.84		Campaign Yard Signs & Banner	
Jodi Borgeson			41758	45.82		Sullpies/refreshments	
						Volunteer Meeting	
Oh My Heck Marketing			41772	1848.38		Signs	
Old North Wire Products			41773	158		Yard Sign Stands	
GoDaddy			41775	55.69		Website	
Mail Chimp			41778	50		Email Server	
Home Depot			41781	57.23		Campaign Sign supplies	
Oh My Heck Marketing			41786	1612.34		Yard Signs	
Oh My Heck Marketing			41787	999.6		Radio Spot Purchase	
The Independent Newspaper			41789	250		Ad	
Home Depot			41789	28.62		Zip Ties	
Oh My Heck Marketing			41792	500		Radio Spot Purchase	
Oh My Heck Marketing			41792	2507		Radio Sport Purchase	
Oh My Heck Marketing			41792	991.65		Postcard Mailers/Design &	
						Printing	
Robocent			41793	25.02		Auto Calls	
The Spectrum			41794	837		Ad	
Post Office			41794	49		Stamps	
Oh My Heck Marketing			41795	1518		Radio Spot Purchases	
Oh My Heck Marketing			41797	1019.15		Senior Sampler Ads/Spectrum	
						Design	
Home Depot			41796	80.13		Plywood for Big Signs	
Oh My Heck Marketing			41796	1400		St George News Ads	
Oh My Heck Marketing			41797	3109.96		Mailer	
Oh My Heck Marketing			41799	66.22		Flyers	
Oh My Heck Marketing			41801	616.25		Signs	
The Spectrum			41803	1711.71		Ad	
Oh My Heck Marketing			41804	214.47		Ad Design	
Oh My Heck Marketing			41804	500		Ad	
Oh My Heck Marketing			41804	33.44		Ad Design	
The Spectrum			41804	515		Ad	
Dane and Associates			41804	532.38		Auto Calls	
Oh My Heck Marketing			41804	1500		Billboard	
### SHEET: Sheet2  (0x0)
### SHEET: Sheet3  (0x0)
