### SHEET: Sheet1  (248x8)
All Expeditures for			Paul Van Dam		COMMISSION		Washington County
Date Received		41940			SEAT B	Date Due	Ocotber 28, 2014
Recipient			Date	Amount	In Kind	Description	
Washington County Clerk			41718	378		Filing Fee	
WalMart			41765	51.95		AMEX pre-paid credit card for	
						Facebook manager	
Act Blue			41765	0.99		Fee for contribution handling	
Staples			41767	6.38		Copies for volunteer kick off	
						meeting	
Staples			41767	26.55		Ink Cartridge	
Dollar Tree			41769	6.38		Thank You Cards	
Act Blue			41772	19.76		Fee for contribution handling	
Washington County GIS			41780	20		Basemap for campaign planning	
Act Blue			41781	13.83		Fee for contribution handling	
Utah Governor's Energy			41787	55		Registration Fee (veterans fee)	
Development Summit							
Act Blue			41788	50		Fee for Votebuilder "My	
						Campaign" for volunteers	
Act Blue			41788	5		Support	
Bronson Bailey Photography			41791	150		Photographic Consultant	
Act Blue			41796	9.29		Fee for contribution handling	
Hooray Engraving Shoppe			41796	85		20 Magnetic campaign buttons	
Smith's Fuel			41795	27.03		Gasoline	
USA Gasoline			41801	18.45		Gasoline	
The Print Store			41802	240.13		Campaign "rack" cards	
SendinBlue			41803	7.47		Email system for campaign	
						updates	
Staples			41806	72.76		Ink Cartridges	
Act Blue			41807	8.89		Fee for contribution handling	
SendinBlue			41807	0.07		Foreign exchange fee	
						website for campaign update	
The Print Store			41815	98.81		Rack card	
Rainbow Printing			41829	223.13		Yard signs	
Act Blue			41830	9.89		Fee for contribution handling	
Act Blue			41830	10.67		Fee for contribution handling	
Staples			41832	6.75		3 legal clipboards for fundraiser	
						sign in sheets	
Build Asign			41834	90		Bumper Stickers	
The Print Store			41834	68		1000 campaign business cards	
Dixie Regional Medical Center			41835	7.68		Breakfast meeting with Dorothy	
						Engelman	
Hooray - Engraving Shoppe			41835	29.96		Magnetic Buttons	
George's Corner			41836	35.03		Lunch w/ Jamie Stewart	
						transportation issues	
SendinBlue			41836	7.46		Monthly email messaging	
						service	
SendinBlue			41836	0.07		Foreign exchange fee	
						website for campaign update	
Pwer Image			41841	207.18		15 t-shirts for volunteers	
George's Corner			41841	7.36		Drinks at campiagn meeting	
Independent Publishing			41848	220		Online and published ads for	
						August	
USPS			41855	39.2		Stamps	
The Print Store			41855	302.74		1000 tri-fold brochures	
The Print Store			41859	250.67		1000 remittance envelopes	
George's Corner			41861	35.73		Breakfast Meeting	
The Print Store			41866	115.81		100 3x10 campaign bumper	
						stickers	
Facebook			41867	20		LPP post boost	
Act Blue			41862	5.93		Fee for contribution handling	
Act Blue			41862	19.75		Fee for contribution handling	
Act Blue			41862	13.84		Fee for contribution handling	
Act Blue			41862	7.72		Fee for contribution handling	
Subway			41869	8.58		Lunch meeting	
Independent Publishing			41872	220		Online and published ads for	
						September	
Washington City Board of			41872	30		State candidate luncheon	
Realtors							
Act Blue			41873	3.95		Fee for contribution handling	
Staples			41873	10.93		Easel pad for issue / debate	
						practice	
Rainbow Printing			41873	223.13		30 yard signs	
Rainbow Printing			41873	96.25		Campaign banner	
Facebook			41874	20		Dixie MPO Exec post boost	
Facebook			41875	10		Dixie MPO Exec post boost	
Hooray - Engraving Shoppe			41876	24.97		5 magnetic buttons	
The Print Store			41879	115.81		100 3x10 campaign bumper	
						stickers	
SendinBlue			41869	7.37		Foreign Xaction fee - website	
						for campaign	
EMCEEsquare Media			41883	425		1/2 of videotapping fee	
Maverik			41883	27.77		Gas -water tour of Washington	
						County w/ Ben Everitt	
Maverik			41883	5.07		Lunch	
Shivwits			41883	18.86		Gas -water tour of Washington	
						County w/ Ben Everitt	
United States Postal Service			41885	6.99		Brochures mailed	
St George Chamber of			41885	30		Luncheon (2)	
Commerce							
Rainbow Printing			41885	345.31		50 18x24 yard signs	
Rainbow Printing			41885	211.65		4 4x4 campaign signs	
Rainbow Printing			41885	817.28		10 4x8 campaign signs	
Sunset Western Headquarters			41890	15.3		Bandanas for St George Lions	
						Round Up Parade	
Hurst Stores, Inc			41890	3.5		PVC Pipe	
Power Image			41892	55.25		4 t shirts for volunteers	
Horray - Engraving Shoppe			41892	71.72		30 pin buttons	
Zion Brew Pub			41893	43.91		Dinner while attending campaign	
						event	
Springdale Chevron			41894	35.61		Gasoline	
Bout Time Pun and Grub			41895	23.17		Dinner after Dixie Round Up	
						Parade attendance	
The Print Store			41897	190.19		1000 4x6 mailer postcards (full	
						color)	
City Spark			41897	10		Promotion of Candidate PVD	
						speaks at 9/16 Leeds event	
