### SHEET: Sheet1  (47x8)
All Expeditures for			David Miller		ASSESSOR		Washington County
Date Received		41866				Date Due	41940
Recipient			Date	Amount	In Kind	Description	
US Postmaster			41694	49		Stamps	
Staples			41701	25.26		Envelopes & Glue	
US Postmaster			41701	147		Stamps	
Washington County Clerk			41712	641		Election Fee	
Alpha Graphics			41719	397.45		Letter Head & Envelopes	
Alpha Graphics			41724	345.88		Campaign Brochures	
Harmons			41724	294			
Washington County Republican			41733	100		Electioneering Fee	
Party						Dixie State University	
Hurst			41729	147		Stamps	
Design To Print			41733	920.13		Campaign Signs	
Discount Mag			41736	368		Campaign Pens	
Zion Food Mart			41691	49.99		Fuel	
Smith's			41698	43.05		Fuel	
Smith's			41716	36.16		Fuel	
St George Ink & Toner			41720	35.04		Printer Cartridges	
St George Ink & Toner			41720	24.43		Printer Cartridges	
Mira Monte			41721	57.99		Fuel	
Staples			41726	14.12		Thank You Envelopes	
Gage Miller			41728	700		Graphic Design	
Hurst's			41728	49		Stamps	
St George Ink & Toner			04/01/204	21.24		Printer Cartridges	
Mira Monte			41732	61.53		Fuel	
### SHEET: Sheet2  (0x0)
### SHEET: Sheet3  (0x0)
