### SHEET: Sheet1  (25x8)
All Expeditures for			Nathan Gregg Caplin			ATTORNEY	Washington County
Date Received		April 4 2014				Date Due	April 4 2014
Recipient			Date	Amount	In Kind	Description	
Washington County Clerk			41718	575		Filing Fee	
Zazzle.com			41722	47.94		Business Cards	
NCCS			41722	120		400 US Constitutions	
Washington County Republican			41724	100		convention  table	
Party							
Staples			41725	213.96		Banners, signs, stickers, t-shirts	
Steam Roller Copies			41726	62.98		Business cards and signs	
Steam Roller Copies			41726	121.13		Business cards, etc.	
Costco			41727	53		Campaign event	
Dickies BBQ			41729	24.61		Campaign event	
Wagon Wheel			41730	50.53		Campaign event	
Dairy Queen			41731	31.58		Campaign event	
### SHEET: Sheet2  (0x0)
### SHEET: Sheet3  (0x0)
