### SHEET: Sheet1  (25x7)
All Expeditures for			JERRY OLSON			LOCAL SCHOOL BOARD 1
Recipient			Received	Amount	In Kind	Description
Washington County Clerk			40977	25		Filing Fee
Campaign Partner			41093	29		web site
Campaign Partner			41123	29		web site
Kelly Campbell			41153	250		Design/Signs/Fliers
Campaign Partner			41156	29		Web site
Rainbow Sign and Banner			41164	250.22		Signs
Rainbow Sign and Banner			41180	731.12		Signs
Home Depot			41181	83.63		Signs
Campaign Partner			41184	29		Web site
Kelly Campbell			41200	60		Signs/Design
Kelly Campbell			41208	722		Flier/Cards/Design
### SHEET: Sheet2  (0x0)
### SHEET: Sheet3  (0x0)
