### SHEET: Sheet1  (33x8)
All Expeditures for			Cory C Pulsipher			SHERIFF	Washington County
Date Received		41807				Date Due	41807
Recipient			Date	Amount	In Kind	Description	
Washington County Republican			02/11/014	150		Lincoln Day Breakfast Table	
Party							
Washington County			41712	497		Filing Fee	
Red Lobster			41720	92.7		Campaign Meeting	
Washington County Republican			41723	100		Electioneering Table	
Party							
Lowes			41725	77.93		Sign Supplies	
Lifetime			41727	302.55		Chairs for Meet & Greet	
						Meetings	
Oh My Heck Marketing			41729	939.69		Advertising (Bags & Buttons)	
Dollar Tree			41732	57.38		Meet & Greet Expenses	
Dixie State Catering			41732	129.36		Meet & Greet Expenses	
WCRW			41732	15		Luncheon	
Brock Belnap			41744	1500		Campaign Donation	
Ridgeview Gardens			41744	185		Meet & Greet Expenses	
WCRW			41774	15		Luncheon	
WalMart			41781	97.83		Meet & Greet Expenses	
Lifetime Store			41782	201.8		Meet & Greet Expenses	
### SHEET: Sheet2  (0x0)
### SHEET: Sheet3  (0x0)
