### SHEET: Sheet1  (19x8)
All Expeditures for			Zachary Renstrom		COMMISSION		Washington County
Date Received		April 4 2014			SEAT A	Date Due	April 4 2014
Recipient			Date	Amount	In Kind	Description	
Washington County Clerk			41718	378		Filing Fee	
Washington County Republican			02/072014	400		Lincoln Day Breakfast	
Party							
Steamroller Copies			41719	348.64		Flyers	
Independent Publishing			41719	125		Graphic Design of Flyers	
Washington County Republicans			41726	100		Table at Convention	
The Business Store			41684	31.88		Banner	
United States Post Office			41732	196		Stamps	
The Business Card Store			41684	242.25		Signs - Banner	
### SHEET: Sheet2  (0x0)
### SHEET: Sheet3  (0x0)
