### SHEET: Sheet1  (23x8)
All Expeditures for			Greg Aldred		COMMISSION		Washington County
Date Received		April 4 2014			SEAT A	Date Due	April 4 2014
Recipient			Date	Amount	In Kind	Description	
Washington County Clerk			41716	378		Filing Fee	
Washington County Republican			41724	100		Electioneering Table	
Party							
Mail To Save			41724	200.9		Mailer	
Discount Copies			41712	79.68		Printing	
Discount Copies			41712	12.75		Printing	
Steamrollers			41712	191.95		Postcard	
Steamrollers			41712	191.95		Postcard	
Costco			41706	42.47		Meet & Greet	
Parks & Recreation			41732	100		Meet & Greet	
Steamrollers			41718	400		Campaign Signs	
### SHEET: Sheet2  (0x0)
### SHEET: Sheet3  (0x0)
