### SHEET: Sheet1  (57x8)
All Expeditures for			Tom Durrant		ASSESSOR		Washington County
Date Received		42009				Date Due	42009
Recipient			Date	Amount	In Kind	Description	
Washington County Republican			41655	300		Lincoln Day Breakfast	
Party							
Washington County Republican			41681	100		Lincoln Day Breakfast	
Party							
Roy Pryor			41680	154		Photographer	
US Postal Service			41684	31		Po Box	
J Maxfield			41684	413.5		Website Design	
Alphagraphics			41663	185.25		Promotional Materials	
Speak By Design			41684	80		Promotional Materials Design	
Alphagraphics			41684	260.81		Promotional Materials	
Alphagraphics			41684	153.5		Postage	
Pay Pal			41690	15.91		Multiple Transaction Fees	
Alphagraphics			41710	300.97		Promotional Materials	
Alphagraphics			41711	237.22		Promotional Materials	
Washington County Clerk			41712	641		Filing Fee	
Facebook			41722	14.78		Ads	
Alphagraphics			41725	121.81		Promotional Materials	
Facebook			41726	100		Ads	
Washington County Republican			41726	100		Electioneering Table	
Party							
Pay Pal			41730	2.05		Multiple Transaction Fees	
Alphagraphics			41730	244.55		Promotional Materials	
Alphagraphics			41730	138.46		Postage	
Walmart			41733	23.57		Thank You Cards	
Alphagraphics			41733	146.89		Postage	
Alphagraphics			41733	172.09		Promotional Materials	
Alphagraphics			41739	160.31		Promotional Materials	
Renaissance Signs			41741	400.69		Marketing & Design	
J Maxfield			41746	870		Website Design &	
						Printing/Email	
Facebook			41759	4.55		Ads	
### SHEET: Sheet2  (0x0)
### SHEET: Sheet3  (0x0)
