### SHEET: Sheet1  (37x8)
All Expeditures for			Greg Aldred		COMMISSION		Washington County
Date Received		April 4 2014			SEAT A	Date Due	April 4 2014
Recipient			Date	Amount	In Kind	Description	
Washington County Clerk			41716	378		Filing Fee	
Washington County Republican			41724	100		Electioneering Table	
Party							
Mail To Save			41724	200.9		Mailer	
Discount Copies			41712	79.68		Printing	
Discount Copies			41712	12.75		Printing	
Steamrollers			41712	191.95		Postcard	
Steamrollers			41712	191.95		Postcard	
Costco			41706	42.47		Meet & Greet	
Parks & Recreation			41732	100		Meet & Greet	
Steamrollers			41718	400		Campaign Signs	
WalMart			41743	16.03		Meet and Greet Waters	
Home Depot			41743	17.05		Starter Logs	
Ink & Toner			41749	63.74		Printing	
Staples			41734	34		Stickers	
Mail To Save Inc			41736	155.07		Mailers	
Discount Copies			41730	68.64		Printing	
Discount Copies			41734	80.75		Printing	
### SHEET: Sheet2  (0x0)
### SHEET: Sheet3  (0x0)
