### SHEET: Sheet1  (19x8)
All Expeditures for			Brock Belnap		ATTORNEY		Washington County
Date Received		April 4 2014				Date Due	April 4 2014
Recipient			Date	Amount	In Kind	Description	
Washington County Clerk			41718	575		Filing Fee	
Constant Contact			41723	50		Email Marketing	
Oh My Heck Marketing			41726	559.6		Campaign Art Design &	
						Supplies	
Oh My Heck Marketing			41726	322.94		Campaign Art Design &	
						Supplies	
Oh My Heck Marketing			41731	267.22		Campaign Art Design &	
						Supplies	
Washington County Republican			41731	100		Convention table space fee	
Party							
Home Depot			41731	67.66		Electioneering Supplies	
Hurst Ace Hardware			41732	9.02		Electioneering Supplies	
### SHEET: Sheet2  (0x0)
### SHEET: Sheet3  (0x0)
