### SHEET: Sheet1  (25x8)
All Expeditures for			Brent Holloway		LOCAL SCHOOL		Washington County
Date Received		41939			4	Date Due	41940
Recipient			Date	Amount	In Kind	Description	
Washington County Clerk			41715	50		Filing Fee	
Super Cheap Signs			41890	252.13		Campaign Advertising	
Super Cheap Signs			41890	117.76		Campaign Advertsing	
Staples			41912	16.55		Campaign Advertsing	
Staples			41919	46.61		Campaign Advertsing	
Michaels			41915	22.22		Campaign Advertsing	
WalMart			41917	25.52		Campaign Advertsing	
WalMart			41918	7.8		Campaign Advertsing	
Home Depot			41921	80.48		Campaign Advertsing	
Home Depot			41924	10.72		Campaign Advertsing	
Home Depot			41935	24.26		Campaign Advertsing	
### SHEET: Sheet2  (0x0)
### SHEET: Sheet3  (0x0)
