### SHEET: Sheet1  (19x8)
All Expeditures for			Mark Boyer		COMMISSION		Washington County
Date Received		April 3 2014			Seat A	Date Due	April 4 2014
Recipient			Date	Amount	In Kind	Description	
Washington County Clerk			41717	378		Filing Fee	
Steamroller Copies			41724	504.69		Signs	
Washington County Republican			41729	100		Election Booth	
Party							
Dixie State Catering			41730	45.05		Water Bottles	
4Imprint			41730	323.66		Pens	
Staples			41734	37.18		Paper	
WalMart			41736	112.56		Ink	
WalMart			41739	56.28		Ink	
### SHEET: Sheet2  (0x0)
### SHEET: Sheet3  (0x0)
