### SHEET: Sheet1  (23x8)
All Expeditures for			David Miller		ASSESSOR		Washington County
Date Received		April 4 2014				Date Due	April 4 2014
Recipient			Date	Amount	In Kind	Description	
US Postmaster			41694	49		Stamps	
Staples			41701	25.26		Envelopes & Glue	
US Postmaster			41701	147		Stamps	
Washington County Clerk			41712	641		Election Fee	
Alpha Graphics			41719	397.45		Letter Head & Envelopes	
Alpha Graphics			41724	345.88		Campaign Brochures	
Harmons			41724	294			
Washington County Republican			41733	100		Electioneering Fee	
Party						Dixie State University	
Hurst			41729	147		Stamps	
Design To Print			41733	920.13		Campaign Signs	
### SHEET: Sheet2  (0x0)
### SHEET: Sheet3  (0x0)
