### SHEET: Sheet1  (33x8)
All Expeditures for			Paul Van Dam		COMMISSION		Washington County
Date Received		41801			SEAT B	Date Due	41807
Recipient			Date	Amount	In Kind	Description	
Washington County Clerk			41718	378		Filing Fee	
WalMart			41765	51.95		AMEX pre-paid credit card for	
						Facebook manager	
Act Blue			41765	0.99		Fee for contribution handling	
Staples			41767	6.38		Copies for volunteer kick off	
						meeting	
Staples			41767	26.55		Ink Cartridge	
Dollar Tree			41769	6.38		Thank You Cards	
Act Blue			41772	19.76		Fee for contribution handling	
Washington County GIS			41780	20		Basemap for campaign planning	
Act Blue			41781	13.83		Fee for contribution handling	
Utah Governor's Energy			41787	55		Registration Fee (veterans fee)	
Development Summit							
Act Blue			41788	50		Fee for Votebuilder "My	
						Campaign" for volunteers	
Act Blue			41788	5		Support	
Bronson Bailey Photography			41791	150		Photographic Consultant	
Act Blue			41796	9.29		Fee for contribution handling	
Hooray Engraving Shoppe			41796	85		20 Magnetic campaign buttons	
### SHEET: Sheet2  (0x0)
### SHEET: Sheet3  (0x0)
