### SHEET: Sheet1  (25x8)
All Expeditures for			Victor Iverson		COMMISSION		Washington County
Date Received		April 4 2014			SEAT B	Date Due	April 4 2014
Recipient			Date	Amount	In Kind	Description	
godaddy.com			41680	25.36		Web Domain Name	
webhostinghub.com			41683	71.88		Web Hosting Fee	
Washington County Republican			41677	225		Lincoln Day Breakfast	
Party							
WalMart			41676	58		Lincoln Day Breakfast Supplies	
Speak By Design			41674	625.88		Flyers & Signs	
Speak By Design			41723	133.13		Flyers	
Speak By Design			41733	290.58		Flyers	
Steamroller			41708	15		Misc Printing	
Washington County Republican			41729	100		Convention Table	
Party							
Washington County Clerk			41715	378		Filing Fee	
Amazon			41708	110		Candy for convention	
### SHEET: Sheet2  (0x0)
### SHEET: Sheet3  (0x0)
