### SHEET: Sheet1  (63x8)
All Expeditures for							SEAT
		ALAN GARDNER			COUNTY COMMISSION SEAT C		
Recipient			Received	Amount	In Kind	Description	
Postmaster			40927	48		Po Box Rental	
Postmaster			40932	117		Stamps	
Staples			40932	76.74		Mailing Supplies	
Wash Co Rep Party			40938	50		Booth at Breakfast	
Wal-Mart			40939	15.91		Thank You Notes	
Wash Co Rep Party			40943	50		Balance Booth	
Pro Mailing Systems			40946	287.5		Brochure - Print	
Home Depot			40950	5.54		Sign Material	
Pro Mailing Systems			40955	192		Post Card Print	
Heart Scent			40956	12.24		Ballons	
Pro Mailing Systems			40974	183.29		Brochure - Mail	
Washington County			40977	225		Filing Fee	
Wash Co Rep Party			40980	75		Table at Convention	
Pro Mailing Systems			40988	424.19		Postcard Mailing Tri Fold	
Staples			40991	27.08		Iron on Transfers	
Target			40991	46.18		T-Shirt and candy	
Home Depot			40991	10.61		Sign Material	
Heart Scent			40995	106.3		Flyers	
St George Parks Dept			40995	30		Snow Park Fee	
Pro Mailer			41001	303.72		Public Land Mailer	
Harmons			41001	32.45		Meet the candidate supplies	
Dixie College			41003	130		Convention Food	
Harmons			41003	6.31		Ballons Meet the Candidate	
Harmons			41003	55.77		Ice Cream Meet the Candidates	
Harmons			41005	9.55		Ballons Convention	
Kathy Gardner			41006	31.27		T Shirts	
Kathy Gardner			41006	38.5		Stickers	
Wash Co Republican Women			41032	40		Poster	
Dixie Jr Livestock Show			41032	232.5		Donation	
WalMart			41131	27.56		Parade Supplies	
### SHEET: Sheet2  (0x0)
### SHEET: Sheet3  (0x0)
