### SHEET: Sheet1  (80x8)
All Expeditures for			Victor Iverson		COMMISSION		Washington County
Date Received		41940			SEAT B	Date Due	41940
Recipient			Date	Amount	In Kind	Description	
godaddy.com			41680	25.36		Web Domain Name	
webhostinghub.com			41683	71.88		Web Hosting Fee	
Washington County Republican			41677	225		Lincoln Day Breakfast	
Party							
WalMart			41676	58		Lincoln Day Breakfast Supplies	
Speak By Design			41674	625.88		Flyers & Signs	
Speak By Design			41723	133.13		Flyers	
Speak By Design			41733	290.58		Flyers	
Steamroller			41708	15		Misc Printing	
Washington County Republican			41729	100		Convention Table	
Party							
Washington County Clerk			41715	378		Filing Fee	
Amazon			41708	110		Candy for convention	
Walmart			41841	103.35		Parade Candy	
			41843				
Cal Ranch			41843	406.84		Parade Décor	
Target			41844	14.88		Parade Décor	
Artic Circle			41844	11.19		Campaign Event	
Ace Hardware			41848	51.56		Booth Set Up	
Ace Hardware			41857	70.09		County Fair Set Up	
Walmart			41862	131.73		Parade Candy	
Enterprise Cornfest			41873	35		Cornfest	
Winkler Distributing			41873	21.4		Cornfest	
Walmart			41876	86.97		Parade Décor	
Dollar Tree			41876	13.68		Balloons	
Farmer's Market			41876	58.72		Peach Days	
Ace Hardware			41884	32.9		Peach Days	
Steamroller Copies			41884	163.63		Banners	
Walmart/Cal Ranch			41896	179.12		Round Up Parade	
Speak By Design			41911	780.65		Signs	
Home Depot/Ace			41920	332.92		Sign post & materials	
Inn-N-Out Burger			41921	11.15		Campaign Event	
Marv's Drive-In			41926	12.8		Campaign Event	
Kneaders			41926	23.54		Campaign Event	
Speak By Design			41927	905.25		Signs	
Costco			41926	159.67		Republican Party Event	
Cherry Creek Radio			41934	1610		Advertising	
Rainbow Sign & Banner			41932	94.35		Sign Posts & Material	
Coyoto Charro			41935	22.96		Campaign Event	
Desert Cinema			41935	500		Video Production	
Gas-mileage			41921	361.71		Sign set up	
			41935				
### SHEET: Sheet2  (0x0)
### SHEET: Sheet3  (0x0)
