vote_id,motion_id,person_id,vote_value
1,1,10,Aye
2,1,25,Aye
3,1,11,Aye
4,1,14,Aye
5,1,27,Aye
6,1,16,Aye
7,4,10,Aye
8,4,16,Aye
9,4,27,Aye
10,4,14,Aye
11,4,11,Aye
12,4,25,Aye
13,5,10,Aye
14,5,16,Aye
15,5,27,Aye
16,5,14,Aye
17,5,11,Aye
18,5,25,Aye
19,6,10,Aye
20,6,16,Aye
21,6,27,Aye
22,6,14,Aye
23,6,11,Aye
24,6,25,Aye
25,7,10,Aye
26,7,16,Aye
27,7,27,Aye
28,7,14,Aye
29,7,11,Aye
30,7,25,Aye
31,8,10,Aye
32,8,16,Aye
33,8,27,Aye
34,8,14,Aye
35,8,11,Aye
36,8,25,Aye
37,13,10,Aye
38,13,16,Aye
39,13,27,Aye
40,13,14,Aye
41,13,11,Aye
42,13,25,Aye
43,14,10,Aye
44,14,16,Aye
45,14,27,Aye
46,14,14,Aye
47,14,11,Aye
48,14,25,Aye
49,15,10,Aye
50,15,16,Aye
51,15,27,Aye
52,15,14,Aye
53,15,11,Aye
54,15,25,Aye
55,16,10,Aye
56,16,16,Aye
57,16,27,Aye
58,16,14,Aye
59,16,11,Aye
60,16,25,Aye
61,19,16,Aye
62,19,27,Aye
63,19,14,Aye
64,19,11,Aye
65,19,25,Aye
66,19,10,Aye
67,20,16,Aye
68,20,27,Aye
69,20,14,Aye
70,20,11,Aye
71,20,25,Aye
72,20,10,Aye
73,21,16,Aye
74,21,27,Aye
75,21,14,Aye
76,21,11,Aye
77,21,25,Aye
78,21,10,Aye
79,22,16,Aye
80,22,27,Aye
81,22,14,Aye
82,22,11,Aye
83,22,25,Aye
84,22,10,Aye
85,25,10,Aye
86,25,25,Aye
87,25,11,Aye
88,25,14,Aye
89,25,27,Aye
90,25,16,Aye
91,28,10,Aye
92,28,25,Aye
93,28,14,Aye
94,28,27,Aye
95,28,16,Aye
96,29,10,Aye
97,29,25,Aye
98,29,14,Aye
99,29,27,Aye
100,29,16,Aye
101,30,10,Aye
102,30,25,Aye
103,30,14,Aye
104,30,27,Aye
105,30,16,Aye
106,31,10,Aye
107,31,25,Aye
108,31,14,Aye
109,31,27,Aye
110,31,16,Aye
111,34,10,Aye
112,34,27,Aye
113,34,14,Aye
114,34,25,Aye
115,34,16,Aye
116,35,10,Aye
117,35,27,Aye
118,35,14,Aye
119,35,25,Aye
120,35,16,Aye
121,37,10,Aye
122,37,11,Aye
123,37,14,Aye
124,37,25,Aye
125,37,27,Aye
126,37,16,Aye
127,38,10,Aye
128,38,11,Aye
129,38,27,Aye
130,38,16,Aye
131,40,10,Aye
132,40,25,Aye
133,40,14,Aye
134,40,27,Aye
135,40,11,Aye
136,40,16,Aye
137,41,10,Aye
138,41,25,Aye
139,41,14,Aye
140,41,27,Aye
141,41,11,Aye
142,41,16,Aye
143,42,10,Aye
144,42,25,Aye
145,42,14,Aye
146,42,27,Aye
147,42,11,Aye
148,42,16,Aye
149,43,10,Aye
150,43,25,Aye
151,43,14,Aye
152,43,27,Aye
153,43,11,Aye
154,43,16,Aye
155,46,10,Aye
156,46,27,Aye
157,46,14,Aye
158,46,25,Aye
159,46,11,Aye
160,46,16,Aye
161,47,10,Aye
162,47,27,Aye
163,47,11,Aye
164,47,14,Aye
165,47,25,Aye
166,47,16,Aye
167,49,10,Aye
168,50,10,Aye
169,51,10,Aye
170,52,10,Aye
171,55,10,Aye
172,55,11,Aye
173,55,14,Aye
174,55,25,Aye
175,55,27,Aye
176,55,16,Aye
177,56,10,Aye
178,56,11,Aye
179,56,27,Aye
180,56,16,Aye
181,59,10,Aye
182,59,11,Aye
183,59,14,Aye
184,59,27,Aye
185,59,16,Aye
186,59,25,Aye
187,62,10,Aye
188,62,14,Aye
189,62,16,Aye
190,62,11,Aye
191,62,25,Aye
192,62,27,Aye
193,66,10,Aye
194,66,14,Aye
195,66,16,Aye
196,66,11,Aye
197,66,27,Aye
198,66,25,Aye
199,67,10,Aye
200,67,14,Aye
201,67,16,Aye
202,67,11,Aye
203,67,27,Aye
204,67,25,Aye
205,68,10,Aye
206,68,14,Aye
207,68,16,Aye
208,68,11,Aye
209,68,27,Aye
210,68,25,Aye
211,69,10,Aye
212,69,14,Aye
213,69,16,Aye
214,69,11,Aye
215,69,27,Aye
216,69,25,Aye
217,70,10,Aye
218,70,14,Aye
219,70,16,Aye
220,70,11,Aye
221,70,27,Aye
222,70,25,Aye
223,73,10,Aye
224,73,11,Aye
225,73,14,Aye
226,73,25,Aye
227,73,27,Aye
228,73,16,Aye
229,74,10,Aye
230,74,11,Aye
231,74,27,Aye
232,74,16,Aye
233,77,10,Aye
234,77,11,Aye
235,77,14,Aye
236,77,27,Aye
237,77,16,Aye
238,78,10,Aye
239,78,11,Aye
240,78,14,Aye
241,78,27,Aye
242,78,16,Aye
243,80,10,Aye
244,80,14,Aye
245,80,16,Aye
246,80,11,Aye
247,80,27,Aye
248,80,25,Aye
249,81,10,Aye
250,81,14,Aye
251,81,16,Aye
252,81,11,Aye
253,81,27,Aye
254,81,25,Aye
255,83,10,Aye
256,83,11,Aye
257,83,14,Aye
258,83,27,Aye
259,83,16,Aye
260,84,10,Aye
261,84,11,Aye
262,84,14,Aye
263,84,27,Aye
264,84,16,Aye
265,86,10,Aye
266,86,14,Aye
267,86,16,Aye
268,86,11,Aye
269,86,27,Aye
270,86,25,Aye
271,87,10,Aye
272,87,14,Aye
273,87,16,Aye
274,87,11,Aye
275,87,27,Aye
276,87,25,Aye
277,88,10,Aye
278,88,14,Aye
279,88,16,Aye
280,88,11,Aye
281,88,27,Aye
282,88,25,Aye
283,92,10,Aye
284,92,16,Aye
285,92,25,Aye
286,92,11,Aye
287,92,14,Aye
288,92,27,Aye
289,94,10,Aye
290,94,11,Aye
291,94,14,Aye
292,94,25,Aye
293,94,27,Aye
294,94,16,Aye
295,95,10,Aye
296,95,11,Aye
297,95,27,Aye
298,95,16,Aye
299,97,10,Aye
300,97,16,Aye
301,97,25,Aye
302,97,11,Aye
303,97,14,Aye
304,97,27,Aye
305,103,10,Aye
306,103,16,Aye
307,103,14,Aye
308,103,25,Aye
309,103,27,Aye
310,103,11,Aye
311,104,10,Aye
312,104,16,Aye
313,104,14,Aye
314,104,25,Aye
315,104,27,Aye
316,104,11,Aye
317,105,10,Aye
318,105,16,Aye
319,105,25,Aye
320,105,27,Aye
321,105,11,Aye
322,105,14,Nay
323,110,10,Aye
324,110,16,Aye
325,110,14,Aye
326,110,25,Aye
327,110,27,Aye
328,110,11,Aye
329,111,10,Aye
330,111,16,Aye
331,111,14,Aye
332,111,25,Aye
333,111,27,Aye
334,111,11,Aye
335,115,10,Aye
336,115,16,Aye
337,115,14,Aye
338,115,25,Aye
339,115,27,Aye
340,115,11,Aye
341,116,10,Aye
342,116,16,Aye
343,116,14,Aye
344,116,25,Aye
345,116,27,Aye
346,116,11,Aye
347,117,10,Aye
348,117,16,Aye
349,117,14,Aye
350,117,25,Aye
351,117,27,Aye
352,117,11,Aye
353,121,10,Aye
354,121,16,Aye
355,121,14,Aye
356,121,25,Aye
357,121,27,Aye
358,121,11,Aye
359,122,10,Aye
360,122,16,Aye
361,122,14,Aye
362,122,25,Aye
363,122,27,Aye
364,122,11,Aye
365,123,10,Aye
366,123,16,Aye
367,123,14,Aye
368,123,25,Aye
369,123,27,Aye
370,123,11,Aye
371,124,10,Aye
372,124,16,Aye
373,124,14,Aye
374,124,25,Aye
375,124,27,Aye
376,124,11,Aye
377,125,10,Aye
378,125,16,Aye
379,125,14,Aye
380,125,27,Aye
381,125,11,Aye
382,126,10,Aye
383,126,16,Aye
384,126,14,Aye
385,126,27,Aye
386,126,11,Aye
387,127,10,Aye
388,127,16,Aye
389,127,14,Aye
390,127,25,Aye
391,127,27,Aye
392,127,11,Aye
393,128,10,Aye
394,128,16,Aye
395,128,14,Aye
396,128,27,Aye
397,128,11,Aye
398,129,10,Aye
399,129,16,Aye
400,129,14,Aye
401,129,27,Aye
402,129,11,Aye
403,133,10,Aye
404,133,27,Aye
405,133,11,Aye
406,133,25,Aye
407,133,14,Aye
408,133,16,Aye
409,144,11,Aye
410,144,27,Aye
411,144,16,Aye
412,146,14,Aye
413,146,10,Nay
414,146,25,Nay
415,146,16,Nay
416,147,10,Aye
417,147,25,Aye
418,147,14,Aye
419,147,27,Aye
420,147,11,Aye
421,147,16,Aye
422,148,10,Aye
423,148,25,Aye
424,148,14,Aye
425,148,27,Aye
426,148,11,Aye
427,148,16,Aye
428,149,10,Aye
429,149,25,Aye
430,149,14,Aye
431,149,27,Aye
432,149,11,Aye
433,149,16,Aye
434,153,10,Aye
435,153,25,Aye
436,153,14,Aye
437,153,27,Aye
438,153,11,Aye
439,153,16,Aye
440,154,10,Aye
441,154,25,Aye
442,154,14,Aye
443,154,27,Aye
444,154,11,Aye
445,154,16,Aye
446,155,10,Aye
447,155,25,Aye
448,155,14,Aye
449,155,27,Aye
450,155,11,Aye
451,155,16,Aye
452,156,10,Aye
453,156,25,Aye
454,156,14,Aye
455,156,27,Aye
456,156,11,Aye
457,156,16,Aye
458,157,10,Aye
459,157,25,Aye
460,157,14,Aye
461,157,27,Aye
462,157,11,Aye
463,157,16,Aye
464,162,10,Aye
465,162,16,Aye
466,162,27,Aye
467,162,11,Aye
468,162,25,Aye
469,162,14,Aye
470,163,10,Aye
471,163,16,Aye
472,163,27,Aye
473,163,11,Aye
474,163,25,Aye
475,163,14,Aye
476,167,10,Aye
477,167,25,Aye
478,167,16,Aye
479,167,27,Aye
480,167,11,Aye
481,167,14,Aye
482,168,10,Aye
483,168,25,Aye
484,168,16,Aye
485,168,27,Aye
486,168,11,Aye
487,168,14,Aye
488,169,10,Aye
489,169,25,Aye
490,169,16,Aye
491,169,27,Aye
492,169,11,Aye
493,169,14,Aye
494,170,10,Aye
495,170,25,Aye
496,170,16,Aye
497,170,27,Aye
498,170,11,Aye
499,170,14,Aye
500,171,10,Aye
501,171,25,Aye
502,171,16,Aye
503,171,27,Aye
504,171,11,Aye
505,171,14,Aye
506,174,25,Aye
507,174,16,Aye
508,174,14,Aye
509,174,27,Aye
510,174,11,Aye
511,175,25,Aye
512,175,16,Aye
513,175,14,Aye
514,175,27,Aye
515,175,11,Aye
516,176,25,Aye
517,176,16,Aye
518,176,14,Aye
519,176,27,Aye
520,176,11,Aye
521,180,10,Aye
522,180,27,Aye
523,180,16,Aye
524,180,11,Aye
525,180,14,Aye
526,181,10,Aye
527,181,11,Aye
528,181,14,Aye
529,181,27,Aye
530,181,16,Aye
531,184,14,Aye
532,184,25,Aye
533,184,27,Aye
534,184,16,Aye
535,184,11,Aye
536,184,10,Aye
537,185,14,Aye
538,185,25,Aye
539,185,27,Aye
540,185,16,Aye
541,185,11,Aye
542,185,10,Aye
543,186,14,Aye
544,186,25,Aye
545,186,27,Aye
546,186,16,Aye
547,186,11,Aye
548,186,10,Aye
549,187,14,Aye
550,187,25,Aye
551,187,27,Aye
552,187,16,Aye
553,187,11,Aye
554,187,10,Aye
555,188,14,Aye
556,188,25,Aye
557,188,27,Aye
558,188,16,Aye
559,188,10,Aye
560,189,14,Aye
561,189,25,Aye
562,189,27,Aye
563,189,16,Aye
564,189,10,Aye
565,190,14,Aye
566,190,25,Aye
567,190,27,Aye
568,190,16,Aye
569,190,10,Aye
570,191,14,Aye
571,191,25,Aye
572,191,27,Aye
573,191,16,Aye
574,191,10,Aye
575,192,14,Aye
576,192,25,Aye
577,192,27,Aye
578,192,16,Aye
579,192,10,Aye
580,197,11,Aye
581,197,14,Aye
582,197,27,Aye
583,197,16,Aye
584,197,10,Aye
585,198,14,Aye
586,198,11,Aye
587,198,27,Aye
588,198,16,Aye
589,198,10,Aye
590,199,14,Aye
591,199,11,Aye
592,199,27,Aye
593,199,16,Aye
594,199,10,Aye
595,200,14,Aye
596,200,11,Aye
597,200,27,Aye
598,200,16,Aye
599,200,10,Aye
600,201,14,Aye
601,201,11,Aye
602,201,27,Aye
603,201,16,Aye
604,201,10,Aye
605,202,14,Aye
606,202,11,Aye
607,202,27,Aye
608,202,16,Aye
609,202,10,Aye
610,203,14,Aye
611,203,11,Aye
612,203,27,Aye
613,203,16,Aye
614,203,10,Aye
615,207,14,Aye
616,207,11,Aye
617,207,27,Aye
618,207,16,Aye
619,207,25,Aye
620,207,10,Aye
621,208,14,Aye
622,208,11,Aye
623,208,27,Aye
624,208,16,Aye
625,208,25,Aye
626,208,10,Aye
627,210,14,Aye
628,210,11,Aye
629,210,27,Aye
630,210,16,Aye
631,210,10,Aye
632,211,14,Aye
633,211,11,Aye
634,211,27,Aye
635,211,16,Aye
636,211,10,Aye
637,212,14,Aye
638,212,11,Aye
639,212,27,Aye
640,212,16,Aye
641,212,10,Aye
642,213,14,Aye
643,213,11,Aye
644,213,27,Aye
645,213,16,Aye
646,213,10,Aye
647,215,14,Aye
648,215,27,Aye
649,215,10,Aye
650,215,16,Aye
651,219,14,Aye
652,219,11,Aye
653,219,16,Aye
654,219,25,Aye
655,219,10,Aye
656,220,14,Aye
657,220,11,Aye
658,220,25,Aye
659,220,16,Aye
660,220,10,Aye
661,221,14,Aye
662,221,11,Aye
663,221,25,Aye
664,221,16,Aye
665,221,10,Aye
666,224,14,Aye
667,224,11,Aye
668,224,16,Aye
669,224,27,Aye
670,224,10,Aye
671,227,10,Aye
672,227,27,Aye
673,227,16,Aye
674,227,11,Aye
675,227,14,Aye
676,228,10,Aye
677,228,11,Aye
678,228,14,Aye
679,228,27,Aye
680,228,16,Aye
681,230,14,Aye
682,230,25,Aye
683,230,16,Aye
684,230,27,Aye
685,230,11,Aye
686,231,14,Aye
687,231,25,Aye
688,231,16,Aye
689,231,27,Aye
690,231,11,Aye
691,232,14,Aye
692,232,25,Aye
693,232,16,Aye
694,232,27,Aye
695,232,11,Aye
696,235,14,Aye
697,235,11,Aye
698,235,16,Aye
699,235,27,Aye
700,235,25,Aye
701,235,10,Aye
702,236,14,Aye
703,236,11,Aye
704,236,16,Aye
705,236,27,Aye
706,236,25,Aye
707,236,10,Aye
708,239,14,Aye
709,239,11,Aye
710,239,16,Aye
711,239,27,Aye
712,239,25,Aye
713,239,10,Aye
714,240,14,Aye
715,240,11,Aye
716,240,16,Aye
717,240,27,Aye
718,240,25,Aye
719,240,10,Aye
720,241,14,Aye
721,241,11,Aye
722,241,16,Aye
723,241,27,Aye
724,241,25,Aye
725,241,10,Aye
726,243,14,Aye
727,243,11,Aye
728,243,16,Aye
729,243,27,Aye
730,243,25,Aye
731,243,10,Aye
732,244,10,Aye
733,244,11,Aye
734,244,14,Aye
735,244,27,Aye
736,244,16,Aye
737,246,14,Aye
738,246,11,Aye
739,246,16,Aye
740,246,27,Aye
741,246,25,Aye
742,246,10,Aye
743,247,14,Aye
744,247,11,Aye
745,247,16,Aye
746,247,27,Aye
747,247,25,Aye
748,247,10,Aye
749,250,14,Aye
750,250,11,Aye
751,250,27,Aye
752,250,25,Aye
753,252,6,Aye
754,252,11,Aye
755,252,14,Aye
756,252,27,Aye
757,252,16,Aye
758,252,10,Aye
759,253,6,Aye
760,253,11,Aye
761,253,14,Aye
762,253,27,Aye
763,253,16,Aye
764,253,10,Aye
765,254,6,Aye
766,254,11,Aye
767,254,14,Aye
768,254,27,Aye
769,254,16,Aye
770,254,10,Aye
771,255,6,Aye
772,255,11,Aye
773,255,14,Aye
774,255,27,Aye
775,255,16,Aye
776,255,10,Aye
777,256,6,Aye
778,256,11,Aye
779,256,14,Aye
780,256,27,Aye
781,256,16,Aye
782,256,10,Aye
783,260,27,Aye
784,260,11,Aye
785,260,14,Aye
786,260,16,Aye
787,260,10,Aye
788,263,6,Aye
789,263,11,Aye
790,263,14,Aye
791,263,16,Aye
792,263,27,Aye
793,263,10,Aye
794,264,6,Aye
795,264,11,Aye
796,264,14,Aye
797,264,16,Aye
798,264,27,Aye
799,264,10,Aye
800,270,6,Aye
801,270,11,Aye
802,270,14,Aye
803,270,16,Aye
804,270,27,Aye
805,270,10,Aye
806,271,6,Aye
807,271,11,Aye
808,271,14,Aye
809,271,16,Aye
810,271,27,Aye
811,271,10,Aye
812,272,6,Aye
813,272,11,Aye
814,272,14,Aye
815,272,16,Aye
816,272,27,Aye
817,272,10,Aye
818,273,6,Aye
819,273,11,Aye
820,273,14,Aye
821,273,16,Aye
822,273,27,Aye
823,273,10,Aye
824,276,6,Aye
825,276,27,Aye
826,276,11,Aye
827,276,14,Aye
828,276,10,Aye
829,277,6,Aye
830,277,27,Aye
831,277,11,Aye
832,277,14,Aye
833,277,10,Aye
834,278,6,Aye
835,278,27,Aye
836,278,11,Aye
837,278,14,Aye
838,278,10,Aye
839,279,27,Aye
840,279,11,Aye
841,279,14,Aye
842,279,10,Aye
843,280,6,Aye
844,280,27,Aye
845,280,11,Aye
846,280,14,Aye
847,280,10,Aye
848,282,6,Aye
849,282,11,Aye
850,282,14,Aye
851,282,27,Aye
852,282,16,Aye
853,282,10,Aye
854,283,6,Aye
855,283,11,Aye
856,283,14,Aye
857,283,27,Aye
858,283,16,Aye
859,283,10,Aye
860,284,6,Aye
861,284,11,Aye
862,284,14,Aye
863,284,27,Aye
864,284,16,Aye
865,284,10,Aye
866,285,6,Aye
867,285,11,Aye
868,285,14,Aye
869,285,27,Aye
870,285,16,Aye
871,285,10,Aye
872,286,6,Aye
873,286,11,Aye
874,286,14,Aye
875,286,27,Aye
876,286,16,Aye
877,286,10,Aye
878,288,6,Aye
879,288,27,Aye
880,288,11,Aye
881,288,14,Aye
882,288,10,Aye
883,291,6,Aye
884,291,11,Aye
885,291,14,Aye
886,291,16,Aye
887,291,27,Aye
888,291,10,Aye
889,292,6,Aye
890,292,11,Aye
891,292,14,Aye
892,292,16,Aye
893,292,27,Aye
894,292,10,Aye
895,295,14,Aye
896,295,27,Aye
897,295,6,Aye
898,295,10,Aye
899,296,14,Aye
900,296,27,Aye
901,296,6,Aye
902,296,10,Aye
903,300,11,Aye
904,300,27,Aye
905,300,16,Aye
906,300,14,Aye
907,300,10,Aye
908,301,11,Aye
909,301,27,Aye
910,301,16,Aye
911,301,14,Aye
912,301,10,Aye
913,302,11,Aye
914,302,27,Aye
915,302,16,Aye
916,302,14,Aye
917,302,10,Aye
918,303,11,Aye
919,303,27,Aye
920,303,16,Aye
921,303,14,Aye
922,303,10,Aye
923,304,11,Aye
924,304,27,Aye
925,304,16,Aye
926,304,14,Aye
927,304,10,Aye
928,305,11,Aye
929,305,27,Aye
930,305,16,Aye
931,305,14,Aye
932,305,10,Aye
933,306,11,Aye
934,306,27,Aye
935,306,16,Aye
936,306,14,Aye
937,306,10,Aye
938,310,14,Aye
939,310,11,Aye
940,310,27,Aye
941,310,16,Aye
942,310,6,Aye
943,310,10,Aye
944,311,14,Aye
945,311,11,Aye
946,311,27,Aye
947,311,16,Aye
948,311,6,Aye
949,311,10,Aye
950,312,14,Aye
951,312,11,Aye
952,312,27,Aye
953,312,16,Aye
954,312,6,Aye
955,312,10,Aye
956,313,14,Aye
957,313,11,Aye
958,313,27,Aye
959,313,16,Aye
960,313,6,Aye
961,313,10,Aye
962,314,14,Aye
963,314,11,Aye
964,314,27,Aye
965,314,16,Aye
966,314,6,Aye
967,314,10,Aye
968,315,14,Aye
969,315,11,Aye
970,315,27,Aye
971,315,16,Aye
972,315,6,Aye
973,315,10,Aye
974,317,14,Aye
975,317,11,Aye
976,317,27,Aye
977,317,16,Aye
978,317,6,Aye
979,317,10,Aye
980,318,10,Aye
981,318,11,Aye
982,318,14,Aye
983,318,27,Aye
984,318,16,Aye
985,318,6,Aye
986,320,14,Aye
987,320,11,Aye
988,320,27,Aye
989,320,16,Aye
990,320,6,Aye
991,320,10,Aye
992,321,14,Aye
993,321,11,Aye
994,321,27,Aye
995,321,16,Aye
996,321,6,Aye
997,321,10,Aye
998,322,14,Aye
999,322,11,Aye
1000,322,27,Aye
1001,322,16,Aye
1002,322,6,Aye
1003,322,10,Aye
1004,323,14,Aye
1005,323,11,Aye
1006,323,27,Aye
1007,323,16,Aye
1008,323,6,Aye
1009,323,10,Aye
1010,326,14,Aye
1011,326,11,Aye
1012,326,27,Aye
1013,326,16,Aye
1014,326,6,Aye
1015,326,10,Aye
1016,327,10,Aye
1017,327,11,Aye
1018,327,14,Aye
1019,327,27,Aye
1020,327,16,Aye
1021,327,6,Aye
1022,331,14,Aye
1023,331,27,Aye
1024,331,16,Aye
1025,331,10,Aye
1026,332,14,Aye
1027,332,27,Aye
1028,332,16,Aye
1029,332,10,Aye
1030,333,14,Aye
1031,333,27,Aye
1032,333,16,Aye
1033,333,10,Aye
1034,336,6,Aye
1035,336,11,Aye
1036,336,14,Aye
1037,336,27,Aye
1038,336,16,Aye
1039,336,10,Aye
