candidate,office,seat,election_year,filing_date,reporting_period,date,vendor_raw,vendor_normalized,purpose,amount,in_kind,is_incremental,source_filing,document_id,line_no,extraction_confidence,extract_method,needs_review
Angel Vice,Mayor,,2019,2019-10-29,interim,2019-06-22,Alexander Castagno,Alexander Castagno,campaign consulting,500.00,False,True,raw/wayback/201910_Angel-Vice_1215.pdf,1215,v1,medium,millcreek_form/vision,0
Angel Vice,Mayor,,2019,2019-10-29,interim,2019-06-27,FundHero,FundHero,Donation processing fee,10.40,False,True,raw/wayback/201910_Angel-Vice_1215.pdf,1215,v2,medium,millcreek_form/vision,0
Angel Vice,Mayor,,2019,2019-10-29,interim,2019-07-05,Alexander Castagno,Alexander Castagno,campaign consulting,1000.00,False,True,raw/wayback/201910_Angel-Vice_1215.pdf,1215,v3,medium,millcreek_form/vision,0
Angel Vice,Mayor,,2019,2019-10-29,interim,2019-07-15,Erin Finney,Erin Finney,field and research work,500.00,False,True,raw/wayback/201910_Angel-Vice_1215.pdf,1215,v4,medium,millcreek_form/vision,0
Angel Vice,Mayor,,2019,2019-10-29,interim,2019-07-16,Beans & Brews,Beans & Brews,volunteer meeting,7.67,False,True,raw/wayback/201910_Angel-Vice_1215.pdf,1215,v5,medium,millcreek_form/vision,0
Angel Vice,Mayor,,2019,2019-10-29,interim,2019-07-17,Union Print shop,Union Print shop,Printing,500.00,False,True,raw/wayback/201910_Angel-Vice_1215.pdf,1215,v6,medium,millcreek_form/vision,0
Angel Vice,Mayor,,2019,2019-10-29,interim,2019-07-18,USPS,Usps,stamps,26.40,False,True,raw/wayback/201910_Angel-Vice_1215.pdf,1215,v7,medium,millcreek_form/vision,0
Angel Vice,Mayor,,2019,2019-10-29,interim,2019-07-18,Beans and Brews,Beans and Brews,Coffee meeting,10.67,False,True,raw/wayback/201910_Angel-Vice_1215.pdf,1215,v8,medium,millcreek_form/vision,0
Angel Vice,Mayor,,2019,2019-10-29,interim,2019-07-22,Venmo,Venmo,donation fee,0.44,False,True,raw/wayback/201910_Angel-Vice_1215.pdf,1215,v9,medium,millcreek_form/vision,0
Angel Vice,Mayor,,2019,2019-10-29,interim,2019-07-26,Venture Out,Venture Out,Table at event,90.00,False,True,raw/wayback/201910_Angel-Vice_1215.pdf,1215,v10,medium,millcreek_form/vision,0
