member,role,first_seen,last_seen,n_vote_rows,mayor_rows_seen
Bradley,Council Member,2026-01-08,2026-04-16,14,
Brewer,Council Member,2022-01-20,2025-12-18,176,
Dahle,Mayor (voting) / Council Member,2020-01-09,2025-12-18,358,yes
Durham,Council Member,2020-01-09,2026-04-16,366,
Fotheringham,Mayor (voting) / Council Member,2020-01-09,2026-04-16,384,yes
Gibbons,Council Member,2020-01-09,2024-12-12,236,
Gray,Council Member,2024-01-04,2026-04-16,131,
Petersen,Council Member,2020-01-09,2021-12-16,104,
Quinn,Council Member,2020-01-09,2026-04-16,390,
Sundwall,Council Member,2026-01-08,2026-04-16,14,
